<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;30;20210713;133000;294.6100000;295.1900000;294.5000000;295.1300000;1.270.000
GAZP;30;20210713;140000;295.1900000;295.2000000;294.5000000;294.5200000;1.412.920
GAZP;30;20210713;143000;294.6000000;294.6400000;293.8800000;294.0800000;2.828.170
GAZP;30;20210713;150000;294.0400000;294.4300000;293.4100000;293.6400000;2.118.360
GAZP;30;20210713;153000;293.5500000;294.0000000;293.3300000;293.8300000;1.778.410
GAZP;30;20210713;160000;293.8300000;294.0000000;293.1000000;293.3000000;2.724.670
GAZP;30;20210713;163000;293.3300000;293.8700000;293.0000000;293.6800000;1.824.620
GAZP;30;20210713;170000;293.6600000;294.1000000;293.4600000;294.0800000;2.960.680
GAZP;30;20210713;173000;294.0800000;294.1000000;293.3500000;293.6300000;1.622.860
GAZP;30;20210713;180000;293.6300000;294.4300000;293.6000000;294.2000000;2.125.150
GAZP;30;20210713;183000;294.2000000;295.0000000;294.0000000;294.7100000;3.412.640
GAZP;30;20210713;190000;294.7800000;294.9200000;294.7000000;294.7000000;2.002.740
GAZP;30;20210713;193000;295.0000000;295.1000000;294.2600000;294.4400000;611.530
GAZP;30;20210713;200000;294.4400000;294.9000000;294.4000000;294.6700000;378.500
GAZP;30;20210713;203000;294.6700000;294.8000000;294.5200000;294.6200000;448.050
GAZP;30;20210713;210000;294.6000000;294.6500000;294.2000000;294.4900000;336.970
GAZP;30;20210713;213000;294.4900000;294.5000000;294.1500000;294.2000000;261.370
GAZP;30;20210713;220000;294.1500000;294.3700000;294.0100000;294.2000000;424.400
GAZP;30;20210713;223000;294.2000000;294.2500000;294.0400000;294.1900000;420.770
GAZP;30;20210713;230000;294.1000000;294.1800000;293.8000000;293.8600000;637.130
GAZP;30;20210713;233000;293.9600000;293.9700000;293.5000000;293.5400000;520.940
GAZP;30;20210714;000000;293.5200000;294.0000000;293.5000000;293.8300000;953.700
GAZP;30;20210714;103000;282.8800000;286.4400000;282.8800000;285.8900000;14.570.130
GAZP;30;20210714;110000;285.8400000;286.4000000;284.8100000;285.2000000;5.197.940
GAZP;30;20210714;113000;285.1100000;286.0000000;284.7700000;285.7700000;4.078.150
GAZP;30;20210714;120000;285.8300000;286.0000000;285.4600000;285.8300000;1.597.410
GAZP;30;20210714;123000;285.8300000;286.9300000;285.7100000;286.3700000;2.808.900
GAZP;30;20210714;130000;286.3500000;286.4600000;285.8500000;285.8800000;1.304.250
GAZP;30;20210714;133000;285.9000000;286.2000000;285.8500000;285.8600000;850.080
GAZP;30;20210714;140000;285.8700000;286.4500000;285.6900000;285.8900000;2.427.970
GAZP;30;20210714;143000;285.8200000;286.0000000;285.2000000;285.8400000;3.204.850
GAZP;30;20210714;150000;285.8400000;286.1300000;285.6300000;285.9700000;1.066.410
GAZP;30;20210714;153000;285.9700000;286.0000000;285.6100000;285.9400000;1.326.570
GAZP;30;20210714;160000;285.9400000;286.0000000;285.8000000;285.9400000;1.233.350
GAZP;30;20210714;163000;285.9400000;286.0000000;285.6900000;285.9400000;853.360
GAZP;30;20210714;170000;285.9400000;285.9500000;284.7000000;285.0100000;3.146.700
GAZP;30;20210714;173000;285.0500000;285.4000000;284.6400000;284.7500000;1.239.520
GAZP;30;20210714;180000;284.7500000;284.8600000;284.1900000;284.4500000;1.704.370
GAZP;30;20210714;183000;284.4500000;285.1000000;284.3000000;284.6000000;1.600.290
GAZP;30;20210714;190000;284.5500000;284.7500000;284.3400000;284.5800000;2.399.140
GAZP;30;20210714;193000;284.5000000;285.2800000;284.1800000;285.2800000;474.950
GAZP;30;20210714;200000;285.2800000;285.2800000;284.8900000;284.9800000;182.670
GAZP;30;20210714;203000;284.9800000;285.0000000;284.4000000;284.6000000;210.500
GAZP;30;20210714;210000;284.6000000;285.0000000;284.5200000;285.0000000;174.210
GAZP;30;20210714;213000;284.9900000;285.0000000;284.8800000;284.9900000;119.650
GAZP;30;20210714;220000;284.9900000;284.9900000;284.8600000;284.9000000;75.040
GAZP;30;20210714;223000;284.8900000;284.9800000;284.7100000;284.8000000;54.590
GAZP;30;20210714;230000;284.8000000;284.9000000;284.6100000;284.7000000;95.950
GAZP;30;20210714;233000;284.7000000;284.8000000;284.5300000;284.6700000;160.750
GAZP;30;20210715;000000;284.5600000;285.0000000;284.5400000;284.6000000;358.330
GAZP;30;20210715;103000;284.5800000;285.1100000;283.8000000;284.6800000;4.040.350
GAZP;30;20210715;110000;284.6800000;284.7500000;283.6700000;283.8000000;2.470.930
GAZP;30;20210715;113000;283.8000000;284.3100000;283.6000000;284.0100000;2.247.400
GAZP;30;20210715;120000;284.0000000;284.2500000;283.5200000;283.5800000;1.429.310
GAZP;30;20210715;123000;283.5800000;283.5800000;281.8000000;281.9000000;4.145.300
GAZP;30;20210715;130000;281.8900000;282.7000000;281.7000000;282.5400000;1.709.860
GAZP;30;20210715;133000;282.4900000;282.6600000;280.3000000;280.3100000;2.897.270
GAZP;30;20210715;140000;280.3000000;281.1600000;278.9600000;280.9700000;5.268.380
GAZP;30;20210715;143000;281.0000000;281.1000000;280.0000000;280.1700000;1.162.530
GAZP;30;20210715;150000;280.1700000;280.8600000;279.8100000;280.4000000;1.562.990
GAZP;30;20210715;153000;280.4100000;280.4600000;279.9300000;280.1700000;811.320
GAZP;30;20210715;160000;280.1700000;280.2500000;279.8600000;280.1700000;952.680
GAZP;30;20210715;163000;280.1100000;280.4700000;279.3000000;279.4200000;1.645.570
GAZP;30;20210715;170000;279.4300000;280.9300000;279.3100000;280.1100000;2.271.060
GAZP;30;20210715;173000;280.1100000;280.4800000;280.0000000;280.1600000;752.860
GAZP;30;20210715;180000;280.1600000;280.1600000;279.2000000;279.7400000;1.541.220
GAZP;30;20210715;183000;279.6800000;280.6500000;279.2900000;280.6000000;2.087.720
GAZP;30;20210715;190000;280.5500000;280.8700000;280.0100000;280.1000000;2.989.720
GAZP;30;20210715;193000;280.3900000;280.4900000;280.0100000;280.4900000;165.290
GAZP;30;20210715;200000;280.4900000;281.2000000;280.4000000;281.1000000;488.850
GAZP;30;20210715;203000;281.0900000;281.1000000;280.4300000;280.5700000;204.030
GAZP;30;20210715;210000;280.5700000;280.6400000;280.1000000;280.1500000;78.560
